Entry,SIDC
SPECIAL OPERATIONS FORCE (SOF) UNIT,S*F*------
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION,S*F*A-----
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING,S*F*AF----
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING SOF UNIT ATTACK,S*F*AFA---
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING SOF UNIT REFUEL,S*F*AFK---
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING SOF UNIT UTILITY,S*F*AFU---
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING SOF UNIT UTILITY SOF UNIT UTILITY (LIGHT),S*F*AFUL--
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING SOF UNIT UTILITY SOF UNIT UTILITY (MEDIUM),S*F*AFUM--
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT FIXED WING SOF UNIT UTILITY SOF UNIT UTILITY (HEAVY),S*F*AFUH--
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT VSTOL,S*F*AV----
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT ROTARY WING,S*F*AH----
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT ROTARY WING SOF UNIT COMBAT SEARCH AND RESCUE,S*F*AHH---
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT ROTARY WING SOF UNIT ATTACK,S*F*AHA---
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT ROTARY WING SOF UNIT UTILITY,S*F*AHU---
SPECIAL OPERATIONS FORCE (SOF) UNIT SOF UNIT AVIATION SOF UNIT ROTARY WING SOF UNIT UTILITY SOF UNIT UTILITY (LIGHT),S*F*AHUL--
